rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0016.jpg,6.4,0.7333,0.6916,0.625,1.0,9,5,False,True
2,frame_0081.jpg,32.4,0.7217,0.7804,0.625,0.72,10,5,False,True
3,frame_0022.jpg,8.8,0.715,0.6551,0.625,1.0,10,5,False,True
4,frame_0030.jpg,12.0,0.7122,0.7994,0.375,1.0,12,3,False,True
5,frame_0023.jpg,9.2,0.7102,0.5704,0.75,1.0,8,6,False,False
6,frame_0003.jpg,1.2,0.6934,0.6868,0.5,1.0,12,4,False,True
7,frame_0033.jpg,13.2,0.6882,0.6014,0.625,1.0,12,5,False,False
8,frame_0002.jpg,0.8,0.6859,0.6717,0.5,1.0,14,4,False,False
9,frame_0001.jpg,0.4,0.6848,0.5197,0.75,1.0,14,6,False,False
10,frame_0017.jpg,6.8,0.6796,0.7342,0.375,1.0,10,3,False,False
11,frame_0382.jpg,152.8,0.6755,0.719,1.0,0.08,15,8,False,True
12,frame_0379.jpg,151.6,0.675,0.884,0.75,0.04,17,6,False,False
13,frame_0076.jpg,30.4,0.6536,0.6392,0.5,0.92,10,4,False,True
14,frame_0067.jpg,26.8,0.6509,0.6018,0.5,1.0,16,4,False,True
15,frame_0307.jpg,122.8,0.6467,0.8384,0.625,0.2,15,5,False,True
16,frame_0223.jpg,89.2,0.6465,0.779,0.75,0.16,18,6,False,True
17,frame_0000.jpg,0.0,0.646,0.6669,0.375,1.0,13,3,False,False
18,frame_0071.jpg,28.4,0.6414,0.5827,0.5,1.0,12,4,False,False
19,frame_0026.jpg,10.4,0.6404,0.5808,0.5,1.0,10,4,False,False
20,frame_0069.jpg,27.6,0.6367,0.5735,0.5,1.0,14,4,False,False
21,frame_0133.jpg,53.2,0.6323,0.5647,0.5,1.0,11,4,False,True
22,frame_0116.jpg,46.4,0.6314,0.7438,0.625,0.36,17,5,False,True
23,frame_0032.jpg,12.8,0.6305,0.561,0.5,1.0,17,4,False,False
24,frame_0386.jpg,154.4,0.6274,0.7088,0.75,0.24,14,6,False,False
25,frame_0323.jpg,129.2,0.6251,0.7522,0.75,0.12,11,6,False,False
26,frame_0128.jpg,51.2,0.62,0.529,0.625,0.84,14,5,False,False
27,frame_0004.jpg,1.6,0.6198,0.4645,0.625,1.0,15,5,False,False
28,frame_0078.jpg,31.2,0.6174,0.5987,0.5,0.84,12,4,False,False
29,frame_0328.jpg,131.2,0.616,0.825,0.625,0.08,21,5,False,False
30,frame_0068.jpg,27.2,0.6034,0.5818,0.375,1.0,14,3,False,False
31,frame_0070.jpg,28.0,0.6001,0.5002,0.5,1.0,13,4,False,False
32,frame_0031.jpg,12.4,0.5926,0.5601,0.375,1.0,13,3,False,False
33,frame_0075.jpg,30.0,0.5922,0.5755,0.375,0.96,11,3,False,False
34,frame_0006.jpg,2.4,0.5863,0.6225,0.25,1.0,10,2,False,False
35,frame_0321.jpg,128.4,0.5814,0.7827,0.5,0.2,12,4,False,False
36,frame_0167.jpg,66.8,0.5811,0.6222,0.5,0.6,15,4,False,False
37,frame_0188.jpg,75.2,0.5781,0.7653,0.625,0.04,14,5,False,False
38,frame_0288.jpg,115.2,0.5779,0.5678,0.5,0.72,12,4,False,False
39,frame_0385.jpg,154.0,0.5743,0.8435,0.375,0.2,16,3,False,False
40,frame_0021.jpg,8.4,0.5741,0.5233,0.375,1.0,9,3,False,False
41,frame_0124.jpg,49.6,0.5706,0.7942,0.125,0.68,14,1,False,False
42,frame_0172.jpg,68.8,0.5691,0.6031,0.625,0.4,12,5,False,False
43,frame_0110.jpg,44.0,0.5661,0.6343,0.75,0.12,14,6,False,False
44,frame_0290.jpg,116.0,0.5647,0.5843,0.375,0.8,12,3,False,False
45,frame_0126.jpg,50.4,0.5641,0.5241,0.5,0.76,12,4,False,False
46,frame_0092.jpg,36.8,0.559,0.556,0.75,0.28,12,6,False,False
47,frame_0132.jpg,52.8,0.5532,0.5564,0.25,1.0,17,2,False,False
48,frame_0304.jpg,121.6,0.5471,0.6661,0.5,0.32,11,4,False,False
49,frame_0083.jpg,33.2,0.5464,0.4617,0.625,0.64,14,5,False,False
50,frame_0114.jpg,45.6,0.5459,0.6048,0.625,0.28,13,5,False,False
51,frame_0098.jpg,39.2,0.5436,0.8463,0.375,0.04,14,3,False,False
52,frame_0074.jpg,29.6,0.543,0.461,0.375,1.0,12,3,False,False
53,frame_0127.jpg,50.8,0.5414,0.6128,0.25,0.8,9,2,False,False
54,frame_0080.jpg,32.0,0.5333,0.5376,0.375,0.76,10,3,False,False
55,frame_0299.jpg,119.6,0.5311,0.6291,0.375,0.52,10,3,False,False
56,frame_0320.jpg,128.0,0.527,0.583,0.625,0.24,13,5,False,False
57,frame_0300.jpg,120.0,0.5257,0.6345,0.375,0.48,12,3,False,False
58,frame_0191.jpg,76.4,0.5244,0.7599,0.375,0.16,10,3,False,False
59,frame_0287.jpg,114.8,0.5208,0.5446,0.375,0.68,9,3,False,False
60,frame_0210.jpg,84.0,0.5206,0.5442,0.375,0.68,9,3,False,False
61,frame_0117.jpg,46.8,0.5202,0.5804,0.5,0.4,12,4,False,False
62,frame_0329.jpg,131.6,0.5199,0.7078,0.5,0.08,23,4,False,False
63,frame_0383.jpg,153.2,0.5195,0.6161,0.625,0.12,17,5,False,False
64,frame_0027.jpg,10.8,0.5192,0.4134,0.375,1.0,13,3,False,False
65,frame_0295.jpg,118.0,0.5168,0.6116,0.25,0.68,14,2,False,False
66,frame_0129.jpg,51.6,0.5158,0.5296,0.25,0.88,12,2,False,False
67,frame_0109.jpg,43.6,0.5082,0.4594,0.875,0.08,14,7,False,False
68,frame_0384.jpg,153.6,0.5077,0.6514,0.5,0.16,17,4,False,False
69,frame_0215.jpg,86.0,0.5063,0.5207,0.5,0.48,12,4,False,False
70,frame_0310.jpg,124.0,0.5054,0.6038,0.625,0.08,13,5,False,False
71,frame_0373.jpg,149.2,0.5024,0.7158,0.375,0.16,22,3,False,False
72,frame_0221.jpg,88.4,0.5014,0.6068,0.5,0.24,14,4,False,False
73,frame_0005.jpg,2.0,0.501,0.5269,0.125,1.0,7,1,False,False
74,frame_0233.jpg,93.2,0.5001,0.6792,0.375,0.24,18,3,False,False
75,frame_0072.jpg,28.8,0.4953,0.4406,0.25,1.0,13,2,False,False
76,frame_0377.jpg,150.8,0.493,0.713,0.375,0.12,18,3,False,False
77,frame_0007.jpg,2.8,0.4904,0.5057,0.125,1.0,12,1,False,False
78,frame_0169.jpg,67.6,0.4901,0.4723,0.5,0.52,13,4,False,False
79,frame_0208.jpg,83.2,0.4895,0.4499,0.375,0.76,7,3,False,False
80,frame_0168.jpg,67.2,0.4885,0.528,0.375,0.56,9,3,False,False
81,frame_0018.jpg,7.2,0.4879,0.4258,0.25,1.0,8,2,False,False
